stim,angle,radius
1,10,30
2,10,57
3,10,85
4,10,113
5,10,140
6,17,30
7,17,57
8,17,85
9,17,113
10,17,140
11,25,30
12,25,57
13,25,85
14,25,113
15,25,140
16,33,30
17,33,57
18,33,85
19,33,113
20,33,140
21,40,30
22,40,57
23,40,85
24,40,113
25,40,140
