participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,rt,trial_type,block_n,trial_n,category_choice
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,0.7959306000266224,standard,2,3,A
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,1.1042757999966852,standard,2,4,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,1.490317000017967,standard,2,5,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,1.6358999999938533,standard,2,6,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,1.3431405000155792,standard,2,7,B
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,j,2.4764847999904305,switch,2,8,A
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,2.103088099975139,standard,2,9,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,2.8648253999999724,switch,2,10,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,1.050157500023488,standard,2,11,B
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,1.9540892000077292,switch,2,12,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,0.9000473999767564,standard,2,13,B
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,j,0.5900988999637775,switch,2,14,A
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,1.0360226000193506,standard,2,15,A
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,2.4006174000096507,standard,2,16,B
10,9,switch/standard,j,f,A,17,113,-5.541832691,31.07890857909637,j,0.700781800027471,standard,2,17,A
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,f,0.6626282000215724,standard,2,18,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,1.4747021999792196,standard,2,19,B
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,1.140591099974699,standard,2,20,A
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,2.308566899970174,switch,2,21,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,1.1574276000028476,standard,2,22,B
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,2.0524855999974534,standard,2,23,A
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,f,0.6144931999733672,switch,2,24,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,1.0369795999722555,standard,2,25,A
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,j,2.080625400005374,standard,2,26,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,1.2185129999998026,switch,2,27,B
10,12,switch/standard,j,f,B,25,57,9.177647168036223,-16.07892918,j,0.63093529996695,standard,2,28,A
10,18,switch/standard,j,f,B,33,85,26.821232143487904,6.976824754974014,f,0.34727680002106354,standard,2,29,B
10,4,switch/standard,j,f,A,10,113,-23.83479794,30.479004461502832,j,0.45147849997738376,standard,2,30,A
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,0.6882627999875695,standard,2,31,B
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,f,1.026278299978003,switch,2,32,B
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,0.9978217000025325,standard,2,33,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,1.1886539999977686,standard,2,34,A
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,f,1.9375543999485672,standard,2,35,B
10,23,switch/standard,j,f,B,40,85,38.21996555398914,5.057706707981728,f,0.7695271999691613,standard,2,36,B
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,0.7757001999998465,standard,2,37,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,f,1.4941589000518434,switch,2,38,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,f,2.12887930002762,standard,2,39,B
10,3,switch/standard,j,f,A,10,85,-26.47077232,11.92758930596587,j,0.968764299992472,standard,2,40,A
10,8,switch/standard,j,f,A,17,85,-8.995342757,8.387433417892344,j,0.8235061000450514,standard,2,41,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,f,0.835260699968785,standard,2,42,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.520125100039877,switch,2,43,A
10,14,switch/standard,j,f,A,25,113,8.045214428,27.52140038259675,j,0.9843463000142948,standard,2,44,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,1.2081712000072002,standard,2,45,A
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,f,0.7401839999947697,switch,2,46,B
10,11,switch/standard,j,f,B,25,30,13.264524555129096,-38.2203846,f,7.0604408999788575,standard,2,47,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,1.762979399994947,standard,2,48,B
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,j,1.0823989000055008,switch,2,49,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,3.71660119999433,standard,2,50,A
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,0.7959556999849156,switch,2,51,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.513991600018926,standard,2,52,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,0.3396394000155851,switch,2,53,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,0.40390239999396726,standard,2,54,A
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,0.3535628999816254,switch,2,55,B
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,1.339720199990552,standard,3,1,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,3.1639276000205427,switch,3,2,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,0.9132823999971152,standard,3,3,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,3.0822561000240967,standard,3,4,A
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,j,1.499083500006236,switch,3,5,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,2.076505000004545,standard,3,6,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,1.215231699985452,standard,3,7,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,3.507947099977173,switch,3,8,B
10,18,switch/standard,j,f,B,33,85,26.821232143487904,6.976824754974014,f,2.9153574999654666,standard,3,9,B
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,1.4114426000160163,standard,3,10,A
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,j,2.871973200002685,standard,3,11,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,0.897618200047873,standard,3,12,A
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,j,0.6514066000236198,switch,3,13,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,3.622450999973807,standard,3,14,A
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,0.7128236999851651,switch,3,15,A
10,11,switch/standard,j,f,B,25,30,13.264524555129096,-38.2203846,f,4.059178399969824,standard,3,16,B
10,3,switch/standard,j,f,A,10,85,-26.47077232,11.92758930596587,j,1.0523830000311136,standard,3,17,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,0.863170100026764,standard,3,18,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,1.0186585999908857,standard,3,19,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,1.0787377000087872,standard,3,20,B
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,2.8906042999587953,switch,3,21,A
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,1.5380947000230665,standard,3,22,A
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,1.2656355999642983,standard,3,23,A
10,8,switch/standard,j,f,A,17,85,-8.995342757,8.387433417892344,j,0.9644948000204748,standard,3,24,A
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,0.6278456000145525,standard,3,25,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,1.8012617999920622,standard,3,26,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,1.3662890999694357,standard,3,27,B
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,3.3340478999889456,standard,3,28,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,1.5319220999954268,standard,3,29,A
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,1.2600570999784395,standard,3,30,A
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,f,4.1839815999846905,switch,3,31,B
10,9,switch/standard,j,f,A,17,113,-5.541832691,31.07890857909637,j,5.1466288000228815,standard,3,32,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,f,0.439369399973657,switch,3,33,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,f,0.7798760000150651,standard,3,34,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,3.170920600008685,standard,3,35,A
10,23,switch/standard,j,f,B,40,85,38.21996555398914,5.057706707981728,f,1.3279633999918588,standard,3,36,B
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,0.648444999998901,standard,3,37,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.7647727000294253,switch,3,38,A
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,j,0.47691389999818057,standard,3,39,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.471299699973315,standard,3,40,A
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,3.033820000011474,switch,3,41,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,3.3093872999888845,standard,3,42,B
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,j,0.7574553999584168,switch,3,43,A
10,4,switch/standard,j,f,A,10,113,-23.83479794,30.479004461502832,j,3.3556631000246853,standard,3,44,A
10,12,switch/standard,j,f,B,25,57,9.177647168036223,-16.07892918,f,1.2505288000102155,standard,3,45,B
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,1.597317399980966,switch,3,46,A
10,14,switch/standard,j,f,A,25,113,8.045214428,27.52140038259675,j,2.8834570000180975,standard,3,47,A
10,22,switch/standard,j,f,B,40,57,41.88083319458841,-14.98800492,f,1.669097599980887,standard,3,48,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,1.6226864000200294,standard,3,49,A
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,3.506037099985406,switch,3,50,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,4.162730699987151,standard,3,51,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,1.3196210999740288,switch,3,52,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,1.0000359999830837,standard,3,53,A
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,1.0771593999816105,standard,3,54,B
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,f,0.6471567000262439,switch,3,55,B
11,3,standard/switch,f,j,A,10,85,-26.47077232,11.92758930596587,j,1.284968400024809,standard,1,1,B
11,21,standard/switch,f,j,B,40,30,45.13982813678688,-35.30081098,f,4.167050399992149,switch,1,2,A
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,1.579499300045427,standard,1,3,A
11,1,standard/switch,f,j,Test,10,30,-20.84275308,-36.88849953,f,0.8500511999591254,switch,1,4,A
11,18,standard/switch,f,j,B,33,85,26.821232143487904,6.976824754974014,j,1.6215927000157535,standard,1,5,B
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,f,1.4265638000215404,standard,1,6,A
11,1,standard/switch,f,j,Test,10,30,-20.84275308,-36.88849953,j,1.3103492999798618,standard,1,7,B
11,16,standard/switch,f,j,B,33,30,30.19684495481618,-38.42373928,f,0.9677109000040218,switch,1,8,A
11,1,standard/switch,f,j,Test,10,30,-20.84275308,-36.88849953,f,2.685992799990345,standard,1,9,A
11,13,standard/switch,f,j,Test,25,85,9.818056926810664,7.222251006984481,f,1.9269080000231045,switch,1,10,A
11,14,standard/switch,f,j,A,25,113,8.045214428,27.52140038259675,f,1.1112184000085108,standard,1,11,A
11,12,standard/switch,f,j,B,25,57,9.177647168036223,-16.07892918,j,0.8079729999881238,standard,1,12,B
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,j,1.469559899996966,standard,1,13,B
11,19,standard/switch,f,j,Test,33,113,26.34861461926153,27.630709460791525,j,0.5197631999617442,switch,1,14,B
11,13,standard/switch,f,j,Test,25,85,9.818056926810664,7.222251006984481,f,0.8087825999828056,standard,1,15,A
11,20,standard/switch,f,j,A,33,140,26.14711175410772,43.96860584938808,j,1.5417875000275671,switch,1,16,B
11,19,standard/switch,f,j,Test,33,113,26.34861461926153,27.630709460791525,f,0.9816924000042492,standard,1,17,A
11,2,standard/switch,f,j,A,10,57,-24.53495333,-12.0763604,f,0.4756167000159621,switch,1,18,A
11,13,standard/switch,f,j,Test,25,85,9.818056926810664,7.222251006984481,j,0.05467489996226504,standard,1,19,B
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,0.098983500036411,switch,1,20,A
11,10,standard/switch,f,j,A,17,140,-1.732665378,46.70107673091564,f,0.41362550004851073,standard,1,21,A
11,8,standard/switch,f,j,A,17,85,-8.995342757,8.387433417892344,f,0.2509764999849722,standard,1,22,A
11,1,standard/switch,f,j,Test,10,30,-20.84275308,-36.88849953,j,0.24787330004619432,standard,1,23,B
11,11,standard/switch,f,j,B,25,30,13.264524555129096,-38.2203846,j,0.5247604999458417,standard,1,24,B
11,1,standard/switch,f,j,Test,10,30,-20.84275308,-36.88849953,j,0.4454530999646522,standard,1,25,B
11,7,standard/switch,f,j,Test,17,57,-6.953638003,-14.02238557,j,0.6259312000474893,switch,1,26,B
11,7,standard/switch,f,j,Test,17,57,-6.953638003,-14.02238557,j,0.43889629998011515,standard,1,27,B
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,0.2747203999897465,standard,1,28,A
