participant,stim,condition,area,angle,radius,angle_psy,radius_psy,key_choice,correct,rt,block_n,trial_n,choice
10,15,switch/standard,31420.28985902792,25,140,12.129448921922751,51.77476957,f,0,4.740835699951276,1,1,smaller
10,8,switch/standard,13615.095328651263,17,85,-8.995342757,8.387433417892344,j,0,3.4012958999956027,1,2,larger
10,16,switch/standard,7634.070148223198,33,30,30.19684495481618,-38.42373928,j,0,6.77148880000459,1,3,larger
10,22,switch/standard,11823.383951785188,40,57,41.88083319458841,-14.98800492,f,1,2.333451699989382,1,4,smaller
10,6,switch/standard,4618.141200776996,17,30,-3.854444584,-37.8392214,f,1,2.971995399973821,1,5,smaller
10,21,switch/standard,8953.53906273091,40,30,45.13982813678688,-35.30081098,f,1,1.552144999965094,1,6,smaller
10,9,switch/standard,21501.12120769236,17,113,-5.541832691,31.07890857909637,j,1,1.3508384000160731,1,7,larger
10,20,switch/standard,31622.74805225926,33,140,26.14711175410772,43.96860584938808,j,1,2.1086997000384144,1,8,larger
10,2,switch/standard,6783.483937263761,10,57,-24.53495333,-12.0763604,f,1,0.5012602999922819,1,9,smaller
10,4,switch/standard,20906.68824440188,10,113,-23.83479794,30.479004461502832,j,1,0.6214354999829084,1,10,larger
10,18,switch/standard,15747.887674588335,33,85,26.821232143487904,6.976824754974014,f,0,0.7456875999923795,1,11,smaller
10,14,switch/standard,22180.47316573864,25,113,8.045214428,27.52140038259675,j,1,2.4246673999587074,1,12,larger
10,23,switch/standard,16680.984325935802,40,85,38.21996555398914,5.057706707981728,j,1,1.7634979999857023,1,13,larger
10,17,switch/standard,10647.407281730188,33,57,26.21866752665977,-14.79865055,j,0,0.6651499000145122,1,14,larger
10,11,switch/standard,6126.105674500097,25,30,13.264524555129096,-38.2203846,f,1,0.7395410999888554,1,15,smaller
10,12,switch/standard,9303.433944524471,25,57,9.177647168036223,-16.07892918,f,1,0.674505099945236,1,16,smaller
10,3,switch/standard,12681.998677303796,10,85,-26.47077232,11.92758930596587,j,0,0.6452487999922596,1,17,larger
10,24,switch/standard,23454.2580870754,40,113,37.71162000489743,24.31290640287821,j,1,1.9908919999725183,1,18,larger
10,10,switch/standard,31217.831665796573,17,140,-1.732665378,46.70107673091564,j,1,1.2039447000133805,1,19,larger
10,5,switch/standard,31040.68074671915,10,140,-16.71390068,50.111230393533226,j,1,0.6394841999863274,1,20,larger
10,18,switch/standard,15747.887674588335,33,85,26.821232143487904,6.976824754974014,j,1,0.5555847999639809,2,21,larger
10,23,switch/standard,16680.984325935802,40,85,38.21996555398914,5.057706707981728,j,1,0.7300109999487177,2,22,larger
10,24,switch/standard,23454.2580870754,40,113,37.71162000489743,24.31290640287821,j,1,0.5696672999765724,2,23,larger
10,20,switch/standard,31622.74805225926,33,140,26.14711175410772,43.96860584938808,j,1,0.4882536000222899,2,24,larger
10,22,switch/standard,11823.383951785188,40,57,41.88083319458841,-14.98800492,f,1,0.786718999966979,2,25,smaller
10,10,switch/standard,31217.831665796573,17,140,-1.732665378,46.70107673091564,j,1,0.6476552999811247,2,26,larger
10,9,switch/standard,21501.12120769236,17,113,-5.541832691,31.07890857909637,j,1,0.4423642000183463,2,27,larger
10,14,switch/standard,22180.47316573864,25,113,8.045214428,27.52140038259675,j,1,0.4305654999916442,2,28,larger
10,21,switch/standard,8953.53906273091,40,30,45.13982813678688,-35.30081098,f,1,0.5871916000032797,2,29,smaller
10,12,switch/standard,9303.433944524471,25,57,9.177647168036223,-16.07892918,f,1,1.2971621000324376,2,30,smaller
10,6,switch/standard,4618.141200776996,17,30,-3.854444584,-37.8392214,f,1,0.8829396999790333,2,31,smaller
10,17,switch/standard,10647.407281730188,33,57,26.21866752665977,-14.79865055,j,0,1.1318896999582648,2,32,larger
10,15,switch/standard,31420.28985902792,25,140,12.129448921922751,51.77476957,j,1,0.8902409999864176,2,33,larger
10,11,switch/standard,6126.105674500097,25,30,13.264524555129096,-38.2203846,f,1,0.5556579999974929,2,34,smaller
10,5,switch/standard,31040.68074671915,10,140,-16.71390068,50.111230393533226,j,1,0.5700380000052974,2,35,larger
10,4,switch/standard,20906.68824440188,10,113,-23.83479794,30.479004461502832,f,0,0.936574199993629,2,36,smaller
10,16,switch/standard,7634.070148223198,33,30,30.19684495481618,-38.42373928,f,1,0.9034250000258908,2,37,smaller
10,2,switch/standard,6783.483937263761,10,57,-24.53495333,-12.0763604,f,1,1.638901399972383,2,38,smaller
10,3,switch/standard,12681.998677303796,10,85,-26.47077232,11.92758930596587,j,0,0.5461417000042275,2,39,larger
10,8,switch/standard,13615.095328651263,17,85,-8.995342757,8.387433417892344,j,0,2.464464900025632,2,40,larger
11,24,standard/switch,23454.2580870754,40,113,37.71162000489743,24.31290640287821,j,1,0.8876877999864519,1,1,larger
11,20,standard/switch,31622.74805225926,33,140,26.14711175410772,43.96860584938808,j,1,0.4247259999974631,1,2,larger
11,6,standard/switch,4618.141200776996,17,30,-3.854444584,-37.8392214,f,1,0.9332989999675192,1,3,smaller
11,10,standard/switch,31217.831665796573,17,140,-1.732665378,46.70107673091564,j,1,1.1809757999726571,1,4,larger
11,2,standard/switch,6783.483937263761,10,57,-24.53495333,-12.0763604,f,1,1.0519459000206552,1,5,smaller
11,16,standard/switch,7634.070148223198,33,30,30.19684495481618,-38.42373928,f,1,0.9019101999583654,1,6,smaller
11,14,standard/switch,22180.47316573864,25,113,8.045214428,27.52140038259675,j,1,0.6377752000116743,1,7,larger
11,21,standard/switch,8953.53906273091,40,30,45.13982813678688,-35.30081098,f,1,1.3615464000031352,1,8,smaller
