participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,rt,trial_type,block_n,trial_n,category_choice
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,f,2.338452900003176,switch,2,2,B
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,0.6821900999639183,standard,2,3,B
10,14,switch/standard,j,f,A,25,113,8.045214428,27.52140038259675,j,0.5884082000120543,standard,2,4,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,1.5478956999722868,switch,2,5,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,0.8345134999835864,standard,2,6,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,0.6953766000224277,standard,2,7,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,1.2485138999763876,standard,2,8,A
10,18,switch/standard,j,f,B,33,85,26.821232143487904,6.976824754974014,f,0.9247702000429854,standard,2,9,B
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,0.8300951000419445,switch,2,10,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,0.8341113000060432,standard,2,11,A
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,1.3507964999880642,switch,2,12,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,1.5347441000049002,standard,2,13,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,f,0.9510134999873116,standard,2,14,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.9825449000345544,standard,2,15,A
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,j,0.7090027999947779,standard,2,16,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,1.2790246999938972,standard,2,17,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,0.41747380001470447,switch,2,18,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,1.0713317000190727,standard,2,19,B
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,1.6817323999712244,switch,2,20,A
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,0.8519722999772057,standard,2,21,B
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,0.6948243000078946,switch,2,22,A
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,1.8653132999897937,standard,2,23,B
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,0.8275939000304788,switch,2,24,B
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,0.6888286999892443,standard,2,25,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,0.6591958000208251,standard,2,26,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,1.734701599983964,standard,2,27,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,1.166510000010021,standard,2,28,B
10,12,switch/standard,j,f,B,25,57,9.177647168036223,-16.07892918,f,0.541677700006403,standard,2,29,B
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,0.5659179999493062,switch,2,30,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,0.7180022000102326,standard,2,31,A
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,0.7903761999914423,switch,2,32,B
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,0.7648024999652989,standard,2,33,A
10,9,switch/standard,j,f,A,17,113,-5.541832691,31.07890857909637,j,0.6033935000305064,standard,2,34,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.9447616999968886,standard,2,35,A
10,3,switch/standard,j,f,A,10,85,-26.47077232,11.92758930596587,f,0.2653287000139244,standard,2,36,B
10,23,switch/standard,j,f,B,40,85,38.21996555398914,5.057706707981728,f,0.6534219000022858,standard,2,37,B
10,8,switch/standard,j,f,A,17,85,-8.995342757,8.387433417892344,j,0.4337832999881357,standard,2,38,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,0.6298988999915309,switch,2,39,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,f,0.5632650999468751,standard,2,40,B
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,0.5377585000242107,switch,2,41,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,4.9463308999547735,standard,2,42,B
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,j,0.7915044000255875,switch,2,43,A
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,0.7890621999977157,standard,2,44,A
10,11,switch/standard,j,f,B,25,30,13.264524555129096,-38.2203846,f,0.7641885000048205,standard,2,45,B
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,0.692016799992416,switch,2,46,B
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,1.358104499988258,standard,2,47,B
10,4,switch/standard,j,f,A,10,113,-23.83479794,30.479004461502832,j,0.6853286999976262,standard,2,48,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,0.7181050999788567,standard,2,49,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,f,0.5196465000044554,standard,2,50,B
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,j,0.8642792999744415,standard,2,51,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,0.9640098999952896,standard,2,52,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.55565779999597,switch,2,53,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.4902288999874145,standard,2,54,A
10,22,switch/standard,j,f,B,40,57,41.88083319458841,-14.98800492,j,0.3886017000186257,standard,2,55,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,0.7818098000134341,standard,3,1,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,0.5247892000479624,standard,3,2,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,1.022041000018362,standard,3,3,A
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,0.6907283999607898,standard,3,4,A
10,14,switch/standard,j,f,A,25,113,8.045214428,27.52140038259675,j,0.5087751999963075,standard,3,5,A
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,f,0.7253795000142418,standard,3,6,B
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,0.6540070000337437,standard,3,7,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,0.6745455000200309,standard,3,8,A
10,18,switch/standard,j,f,B,33,85,26.821232143487904,6.976824754974014,f,1.1893538999720477,standard,3,9,B
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,j,0.5871113000321202,switch,3,10,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,0.7855509999790229,standard,3,11,A
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,0.7271028000395745,switch,3,12,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,1.040787999983877,standard,3,13,A
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,0.5878017999930307,switch,3,14,A
10,23,switch/standard,j,f,B,40,85,38.21996555398914,5.057706707981728,f,0.7219938000198454,standard,3,15,B
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,0.7394903000094928,switch,3,16,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.47521529998630285,standard,3,17,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,0.7669008999946527,standard,3,18,A
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,2.0856406000093557,switch,3,19,B
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,0.7268790999660268,standard,3,20,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,j,0.6803185999742709,standard,3,21,A
