participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,correct,rt,block_n,trial_n,category_choice
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,1,2.5503185000270605,3,51,A
10,14,switch/standard,j,f,A,25,113,8.045214428,27.52140038259675,j,1,1.2445368000189774,3,52,A
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,1,0.9284785999916494,3,53,B
10,18,switch/standard,j,f,B,33,85,26.821232143487904,6.976824754974014,f,1,1.983967299980577,3,54,B
10,22,switch/standard,j,f,B,40,57,41.88083319458841,-14.98800492,f,1,0.819891799998004,3,55,B
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,1,0.792639399995096,3,56,A
10,9,switch/standard,j,f,A,17,113,-5.541832691,31.07890857909637,j,1,1.19027650001226,3,57,A
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,1,0.7473900999757461,3,58,B
10,3,switch/standard,j,f,A,10,85,-26.47077232,11.92758930596587,j,1,1.2422117000096478,3,59,A
10,8,switch/standard,j,f,A,17,85,-8.995342757,8.387433417892344,j,1,1.6300122999818996,3,60,A
10,11,switch/standard,j,f,B,25,30,13.264524555129096,-38.2203846,f,1,0.737375000026077,4,61,B
10,22,switch/standard,j,f,B,40,57,41.88083319458841,-14.98800492,f,1,0.8791139000095427,4,62,B
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,1,0.8892150999745354,4,63,A
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,1,1.9066111000138335,4,64,A
10,23,switch/standard,j,f,B,40,85,38.21996555398914,5.057706707981728,f,1,0.7939354999689385,4,65,B
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,1,1.4958076000330038,4,66,B
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,f,1,3.104846099973656,4,67,B
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,1,0.822865099995397,4,68,A
10,18,switch/standard,j,f,B,33,85,26.821232143487904,6.976824754974014,f,1,1.0266968999640085,4,69,B
10,8,switch/standard,j,f,A,17,85,-8.995342757,8.387433417892344,j,1,1.0627234000130557,4,70,A
10,12,switch/standard,j,f,B,25,57,9.177647168036223,-16.07892918,f,1,0.6975978999980725,4,71,B
10,3,switch/standard,j,f,A,10,85,-26.47077232,11.92758930596587,j,1,0.8417250999482349,4,72,A
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,1,0.7485580999637023,4,73,B
10,14,switch/standard,j,f,A,25,113,8.045214428,27.52140038259675,j,1,1.0365598000353202,4,74,A
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,1,0.7283707000315189,4,75,B
10,9,switch/standard,j,f,A,17,113,-5.541832691,31.07890857909637,j,1,1.4244821000029333,4,76,A
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,1,0.7564986000070348,4,77,A
10,4,switch/standard,j,f,A,10,113,-23.83479794,30.479004461502832,j,1,0.6340145999565721,4,78,A
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,j,1,0.8782635999959894,4,79,A
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,1,0.984083899995312,4,80,B
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,1,1.564831099996809,5,81,B
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,1,0.8279711999930441,5,82,A
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,1,1.7039113999926483,5,83,B
10,17,switch/standard,j,f,B,33,57,26.21866752665977,-14.79865055,f,1,1.2150929999770597,5,84,B
10,8,switch/standard,j,f,A,17,85,-8.995342757,8.387433417892344,j,1,1.203409100009594,5,85,A
10,14,switch/standard,j,f,A,25,113,8.045214428,27.52140038259675,j,1,1.2009419000241903,5,86,A
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,1,0.9175875000073574,5,87,A
10,3,switch/standard,j,f,A,10,85,-26.47077232,11.92758930596587,j,1,0.8286469000158831,5,88,A
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,1,0.5935346999904141,5,89,B
10,18,switch/standard,j,f,B,33,85,26.821232143487904,6.976824754974014,f,1,0.5269133999827318,5,90,B
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,f,1,0.7679534999770112,5,91,B
10,23,switch/standard,j,f,B,40,85,38.21996555398914,5.057706707981728,f,1,1.0463147000409665,5,92,B
10,11,switch/standard,j,f,B,25,30,13.264524555129096,-38.2203846,f,1,1.352806199982297,5,93,B
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,j,1,0.8153465999639593,5,94,A
10,22,switch/standard,j,f,B,40,57,41.88083319458841,-14.98800492,f,1,0.8359026000252925,5,95,B
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,1,0.808144100010395,5,96,A
10,9,switch/standard,j,f,A,17,113,-5.541832691,31.07890857909637,j,1,0.9554792999988422,5,97,A
10,12,switch/standard,j,f,B,25,57,9.177647168036223,-16.07892918,f,1,0.8984452000004239,5,98,B
10,4,switch/standard,j,f,A,10,113,-23.83479794,30.479004461502832,j,1,0.8039172000135295,5,99,A
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,1,2.81700430001365,5,100,A
11,23,standard/switch,f,j,B,40,85,38.21996555398914,5.057706707981728,f,0,6.978837999980897,1,1,A
11,14,standard/switch,f,j,A,25,113,8.045214428,27.52140038259675,j,0,1.0742945999954827,1,2,B
11,18,standard/switch,f,j,B,33,85,26.821232143487904,6.976824754974014,j,1,2.9153516000369564,1,3,B
11,10,standard/switch,f,j,A,17,140,-1.732665378,46.70107673091564,f,1,0.6418249000562355,1,4,A
11,16,standard/switch,f,j,B,33,30,30.19684495481618,-38.42373928,j,1,1.1015539999934845,1,5,B
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,j,1,0.7976768999942578,1,6,B
11,11,standard/switch,f,j,B,25,30,13.264524555129096,-38.2203846,j,1,0.627130999986548,1,7,B
11,15,standard/switch,f,j,A,25,140,12.129448921922751,51.77476957,f,1,1.0792576000094414,1,8,A
11,20,standard/switch,f,j,A,33,140,26.14711175410772,43.96860584938808,f,1,1.0248280999949202,1,9,A
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,f,1,1.101175699965097,1,10,A
11,4,standard/switch,f,j,A,10,113,-23.83479794,30.479004461502832,f,1,2.2461375999846496,1,11,A
11,12,standard/switch,f,j,B,25,57,9.177647168036223,-16.07892918,j,1,0.880202799977269,1,12,B
11,9,standard/switch,f,j,A,17,113,-5.541832691,31.07890857909637,f,1,1.8345550000085495,1,13,A
11,24,standard/switch,f,j,B,40,113,37.71162000489743,24.31290640287821,f,0,3.757178500003647,1,14,A
11,2,standard/switch,f,j,A,10,57,-24.53495333,-12.0763604,f,1,1.3854536000289954,1,15,A
11,8,standard/switch,f,j,A,17,85,-8.995342757,8.387433417892344,f,1,1.7015861999825574,1,16,A
11,22,standard/switch,f,j,B,40,57,41.88083319458841,-14.98800492,j,1,0.5178663000115193,1,17,B
11,21,standard/switch,f,j,B,40,30,45.13982813678688,-35.30081098,j,1,0.5187354999943636,1,18,B
11,3,standard/switch,f,j,A,10,85,-26.47077232,11.92758930596587,f,1,0.6381369000300765,1,19,A
11,17,standard/switch,f,j,B,33,57,26.21866752665977,-14.79865055,j,1,0.5937123000039719,1,20,B
11,11,standard/switch,f,j,B,25,30,13.264524555129096,-38.2203846,j,1,0.6310024000122212,2,21,B
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,j,1,0.46735490002902225,2,22,B
11,9,standard/switch,f,j,A,17,113,-5.541832691,31.07890857909637,f,1,0.5019368000212125,2,23,A
11,20,standard/switch,f,j,A,33,140,26.14711175410772,43.96860584938808,f,1,0.7270234000170603,2,24,A
11,16,standard/switch,f,j,B,33,30,30.19684495481618,-38.42373928,j,1,0.5837185999844223,2,25,B
11,12,standard/switch,f,j,B,25,57,9.177647168036223,-16.07892918,j,1,0.4528360999538563,2,26,B
11,3,standard/switch,f,j,A,10,85,-26.47077232,11.92758930596587,f,1,0.6403559999889694,2,27,A
11,10,standard/switch,f,j,A,17,140,-1.732665378,46.70107673091564,f,1,0.6991230000276119,2,28,A
11,18,standard/switch,f,j,B,33,85,26.821232143487904,6.976824754974014,j,1,3.4054184000124224,2,29,B
11,8,standard/switch,f,j,A,17,85,-8.995342757,8.387433417892344,f,1,0.7201449000276625,2,30,A
11,14,standard/switch,f,j,A,25,113,8.045214428,27.52140038259675,f,1,0.5841803000075743,2,31,A
11,15,standard/switch,f,j,A,25,140,12.129448921922751,51.77476957,f,1,0.6052063000388443,2,32,A
11,23,standard/switch,f,j,B,40,85,38.21996555398914,5.057706707981728,j,1,2.2579022999852896,2,33,B
11,21,standard/switch,f,j,B,40,30,45.13982813678688,-35.30081098,j,1,0.6752825999865308,2,34,B
