0.0545 	EXP 	Created unnamed Pie = Pie(__class__=<class 'psychopy.visual.pie.Pie'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb255', contrast=None, depth=0, draggable=False, fillColor=array([128., 128., 128.]), fillColorSpace='rgb255', fillRGB=array([False, False, False]), interpolate=True, lineColor=array([255., 255., 128.]), lineColorSpace='rgb255', lineRGB=array([255, 192,   0]), lineWidth=1.5, name='unnamed Pie', opacity=1.0, ori=0.0, pos=array([200.,   0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
0.0779 	INFO 	Keyboard events cleared
0.0815 	WARNING 	fillColorSpace parameter is deprecated. Please use colorSpace instead.
0.0816 	WARNING 	lineColorSpace parameter is deprecated. Please use colorSpace instead.
0.0834 	EXP 	Created unnamed Pie = Pie(__class__=<class 'psychopy.visual.pie.Pie'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb255', contrast=None, depth=0, draggable=False, fillColor=array([128., 128., 128.]), fillColorSpace='rgb255', fillRGB=array([False, False, False]), interpolate=True, lineColor=array([128., 255., 128.]), lineColorSpace='rgb255', lineRGB=array([  0, 128,   0]), lineWidth=1.5, name='unnamed Pie', opacity=1.0, ori=0.0, pos=array([-200.,    0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
0.0837 	WARNING 	fillColorSpace parameter is deprecated. Please use colorSpace instead.
0.0838 	WARNING 	lineColorSpace parameter is deprecated. Please use colorSpace instead.
0.0856 	EXP 	Created unnamed Pie = Pie(__class__=<class 'psychopy.visual.pie.Pie'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb255', contrast=None, depth=0, draggable=False, fillColor=array([128., 128., 128.]), fillColorSpace='rgb255', fillRGB=array([False, False, False]), interpolate=True, lineColor=array([255., 255., 128.]), lineColorSpace='rgb255', lineRGB=array([255, 192,   0]), lineWidth=1.5, name='unnamed Pie', opacity=1.0, ori=0.0, pos=array([200.,   0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
0.1141 	WARNING 	fillColorSpace parameter is deprecated. Please use colorSpace instead.
0.1141 	WARNING 	lineColorSpace parameter is deprecated. Please use colorSpace instead.
